Eser Adı,İcracı,Eser Süresi,Yayın Adedi
"Nocturne No. 9 in B Major, Op. 32 No. 1",Frank Levy,00:05:01,19
0002__[No Copyright Music] @ScottBuckley  - Stars In Her Skies [Orchestral]__[HdBYkaOsLaI],,00:04:37,11
0004__[Non Copyrighted Music] @ScottBuckley - Phoenix [Epic]__[4HhM66X978U],,00:06:53,11
0006__[No Copyright Music] Scott Buckley - Sanctum [Epic]__[G_LeTJhjMR8],,00:04:15,11
0007__'Lonesome Journey' by @KeysofMoonMusic  🇺🇸 ｜ Melancholic Piano Music (No Copyright) 🙁__[p5cWMxzzMdA],,00:02:59,11
0010__'Awakening' by @SteffenDaum  🇩🇪 ｜ Epic Piano Music (No Copyright) 🌿__[6lWNCilZo1A],,00:02:25,11
0013__[Non Copyrighted Music] Scott Buckley - World of Magic [Epic]__[0ArLCRFBQrI],,00:01:38,11
0018__🌙 Copyright Free Orchestral Music - ＂Unexplored Moon＂ by @MiguelJohnson  🇺🇸__[1lmgmCmhRSc],,00:05:45,11
0020__😓 Sad Piano Ambient Music (Copyright Free) - ＂Undertow＂ by @ScottBuckley  🇦🇺__[3TKghKSDnEM],,00:04:10,11
0021__🌇 Movie Trailer Music (Copyright Free) - ＂Silhouette of War＂ by Keys Of Moon 🇺🇸__[Lzofxb1vATw],,00:04:07,11
0023__🏛️ Free Classical Music (For Videos) - ＂A Better Future＂ by Miguel Johnson 🇺🇸__[TjX34wmhFC4],,00:02:06,11
0024__🔮 Emotional Fantasy Piano Music (For Videos) - ＂Enchanted＂ by Keys Of Moon 🇺🇸__[HS6lu3NGRJY],,00:02:43,11
0029__😲 Dramatic Emotional Background Music (For Videos) - ＂This Too Shall Pass＂ by Scott Buckley 🇦🇺__[LlU2X2AWhho],,00:07:28,11
0040__🏛️ Free Classical & Ambiental Music - ＂Chasing Daylight＂ by Scott Buckley 🇦🇺__[DqR-_OKU4R4],,00:04:34,11
0041__🍬 Free Classical Fantasy Music - ＂Magic＂ by Savfk 🇮🇹 🇬🇧__[X7j3Kfsq56A],,00:03:47,11
0042__📽️ Free Film Orchestral Music - ＂Still A Long Way To Go＂ by Miguel Johnson 🇺🇸__[hxcNFgQ2hJE],,00:04:10,11
0056__Classical & Cinematic (Free Music) - ＂CELESTIAL＂ by @ScottBuckley 🇦🇺 🇸🇪__[8RvCmtaxpic],,00:05:38,11
0057__🧸 Lullaby & Classical (Free Music) - ＂LULLABY WALTZ＂ by @nspiliotis 🇬🇷__[WeWHfalQVx0],,00:02:24,11
0059__❤️‍🔥 Romantic & Piano (Royalty Free Music) - ＂LOVE＂ by Alex Productions 🇮🇹__[cDv_lNZ8VsM],,00:02:41,11
0061__🌳 Classical & Cinematic (Free Music) - ＂IN SEARCH OF SOLITUDE＂ by Scott Buckley 🇦🇺 🇸🇪__[vaKyCkG678c],,00:07:26,11
0062__🌄 Inspiring (Free Music) - ＂WAITING FOR YOU TILL THE END OF WAR＂ by Nikos Spiliotis 🇬🇷__[1dg_Ph7Ru_4],,00:02:40,11
0067__🌑 Dark Ambient (Free Music) - ＂THE LONG DARK＂ by Scott Buckley 🇦🇺__[zwyCdIF9flw],,00:07:20,11
0068__🎺 🎷 Jazz Trio (Free Music) - ＂ORNETTE ORNETTE＂ by Justin Allan Arnold 🇺🇸__[Jy7BEPFyB8o],,00:02:00,11
0073__🎶 Classical & Opera (Royalty Free Music) - ＂SEARCH FOR UTOPIA＂ by Nikos Spiliotis 🇬🇷__[KXGkKfPInD0],,00:03:31,11
0074__💫 Elegant & Classical (Royalty Free Music) - ＂SÉRÉNADE À NOTRE-DAME DE PARIS＂ by Amarià 🇫🇷__[CEx40FXzmsU],,00:02:43,11
0077__🫶 (Royalty Free Music) - ＂YOU ALWAYS CARRY THE SUN IN YOUR HANDS FOR ME＂ by Nikos Spiliotis 🇬🇷__[owXIN92v8sY],,00:04:03,11
0083__🎻 Classical (Royalty Free Music) - ＂ANCIENT WALTZ＂ by Nikos Spiliotis 🇬🇷__[cgd00sZ0nCA],,00:03:08,11
0084__🎻 Soundtrack (Royalty Free Music) - ＂BREATHTAKING＂ by Alex Productions 🇮🇹__[n9LX2-zolAc],,00:02:28,11
0085__🎻 Soundtrack (Royalty Free Music) - ＂WITH THESE HANDS＂ by Scott Buckley 🇦🇺__[Ta28no2P3uY],,00:05:06,11
0001__📜 Copyright Free Classical Music - ＂Ephemera＂ by Scott Buckley 🇦🇺__[uz2S8a2r5j8],,00:05:39,10
0003__🕰️ Mystery Music (No Copyright) - ＂Signal To Noise＂ by @ScottBuckley  🇦🇺__[yePye8-D0zs],,00:05:54,10
0005__'The Age Of Wood' by Savfk 🇮🇹 ｜ Cello Music (No Copyright) 🎻__[Q6CRmIXcrxw],,00:04:15,10
0008__[Free Music] @ContextSensitive  - Guardians [Classical]__[CyiF0YctsA8],,00:03:01,10
0009__🗡️ Free EPIC & FANTASY [No Copyright Music] - ＂For Tomorrow＂ by @SavfkMusic__[oh2u7aSxYIU],,00:03:39,10
0011__[Non Copyrighted Music] Scott Buckley - Growing Up [Piano]__[kQSoW1VnkH4],,00:01:56,10
0012__'The Medieval Banquet' by Silvermansound 🇬🇧 ｜ Medieval Music (No Copyright) 🏰__[m8DsRTCtCHI],,00:01:50,10
0014__'Filaments' by @ScottBuckley  🇦🇺 ｜ Sad Ambiental Music (No Copyright) 😔__[taAxpw03dgM],,00:05:40,10
0015__'Omega' by @ScottBuckley  🇦🇺 ｜ Epic Progressive Music (No Copyright) ⛰️__[AHsnHv-wkus],,00:04:06,10
0016__🗼 Copyright Free Inspirational Music - 'The Travelling Symphony' by @SavfkMusic  🇮🇹__[yIF56YN5M_Q],,00:05:01,10
0017__[Non Copyrighted Music] @MiguelJohnson - Good Day To Die [Epic]__[M_k-RQA7lBE],,00:06:06,10
0019__🍀 Celtic Music (Copyright Free) - ＂Towards The Horizon＂ by Alexander Nakarada 🇳🇴__[nFovhPQ_M_k],,00:03:46,10
0022__💃🏻 Romantic Instrumental Music (Free) - ＂Love Waltz＂ by Nikos Spiliotis 🇬🇷__[ZRgDMewQk-c],,00:03:19,10
