Eser Adı,İcracı,Eser Süresi,Yayın Adedi
011 - Lady Gaga - The Dead Dance (Lyrics),,00:03:49,3
012 - The Phantom of the Opera - Lyrics,,00:03:31,3
015 - Ghost - Mary On A Cross (Official Audio),,00:04:05,3
016 - Queen – Bohemian Rhapsody (Official Video Remastered),,00:05:59,3
"025 - Paint It, Black",,00:03:22,3
027 - Cemetery Beach,,00:03:12,3
033 - Graveyard Love Song,,00:04:20,3
038 - Gallowdance,,00:03:52,3
041 - Tear You Apart,,00:04:45,3
047 - Black No. 1 (Little Miss Scare -All),,00:11:16,3
053 - Helena,,00:03:20,3
055 - Pumpkinhead,,00:02:16,3
057 - This Love,,00:06:34,3
059 - The Blade,,00:04:33,3
061 - Video Killed The Radio Star,,00:04:14,3
062 - Girls Just Want to Have Fun,,00:03:58,3
063 - Fun.： We Are Young ft. Janelle Monáe [OFFICIAL VIDEO],,00:04:12,3
066 - I Don't Wanna Be Me,,00:05:09,3
070 - So Far So Fake,,00:03:56,3
074 - Rock Lobster,,00:04:56,3
077 - Angel (Remastered 2019),,00:06:23,3
088 - Too Many Nights,,00:03:20,3
093 - Telephone,,00:03:41,3
24K Magic,Bruno Mars,00:03:46,3
Adele - Skyfall (Official Lyric Video) [DeumyOzKqgI],,00:04:49,3
All The City Lights,ZT,00:03:29,3
Beggin’,Madcon,00:03:39,3
Burna Boy - Don't Let Me Drown (From F1® The Movie) [Official Video] [h35Nhha7qQI],,00:03:06,3
Call Out My Name,The Weeknd,00:03:48,3
Chicago,Michael Jackson,00:04:06,3
Cinderella,Remi Wolf,00:04:04,3
Cloud Surfing,Luke Seager,00:02:49,3
Coldplay - Adventure Of A Lifetime (Official Video) [QtXby3twMmI],,00:05:16,3
Daddy Yankee ｜ Gasolina (Video Oficial) [Full HD] [XtPY5kxjCWo],,00:05:05,3
Dancing in the Moonlight,Toploader,00:03:53,3
Danza Kuduro,"Don Omar, Lucenzo",00:03:19,3
Daydream,Günter Kallmann Choir,00:03:22,3
Duke Dumont - Ocean Drive (Extended Mix) [6cAZ6FVduxo],,00:04:40,3
Grandma Calls The Boy Bad News [0DDTgoeieik],,00:03:27,3
Heart of Glass,Blondie,00:03:49,3
How Deep Is Your Love,Bee Gees,00:04:02,3
Imagine Dragons - Believer (Official Music Video) [7wtfhZwyrcc],,00:03:37,3
Instant Crush,Daft Punk feat. Julian Casablancas,00:05:38,3
I’m Coming Out,Diana Ross,00:05:23,3
Jonas Blue - Fast Car ft. Dakota (Official Video) [5yXQJBU8A28],,00:03:36,3
Love Again,Dua Lipa,00:04:18,3
Man I Need,Olivia Dean,00:03:04,3
Megan Thee Stallion - Neva Play (feat. RM) [Official Video] [TpYTyAaTRts],,00:02:39,3
Michael Bublé - Feeling Good [Official 4K Remastered Music Video] [Edwsf-8F3sI],,00:04:02,3
Midnight City,M83,00:04:04,3
Migos - Narcos [unh8kWUuNt4],,00:04:46,3
More Than a Woman,Tavares,00:03:27,3
"Move (feat. Camila Cabello) - Adam Port, Stryv, Malachiii, Orso (Official Visualizer) [si6Ox8IuZeU]",,00:03:00,3
On Melancholy Hill,Gorillaz,00:03:54,3
Out of My League,Fitz and the Tantrums,00:03:29,3
RAYE - Escapism. feat. 070 Shake [0EBw-CWc4Uw],,00:04:32,3
Rich Girl,Gwen Stefani featuring Eve,00:03:56,3
Riton x Oliver Heldens - Turn Me On ft. Vula [cdNgo-E95f0],,00:03:28,3
Save Your Tears (remix),The Weeknd with Ariana Grande,00:03:11,3
Somebody That I Used to Know,Gotye feat. Kimbra,00:04:06,3
stereo love ⧸⧸ tiktok version (sped up) [2hP8qI5K-gg],,00:03:48,3
Stromae - Alors on danse (Official Video) [VHoT4N43jK8],,00:03:55,3
Super Trouper,ABBA,00:04:13,3
Syzz - Gimme Gimme Gimme [5dlVOyH4lZg],,00:02:33,3
we never dated,sombr,00:03:17,3
What You Won't Do for Love,Bobby Caldwell,00:04:46,3
Words - Original Version 1983,F.R. David,00:03:29,3
