Eser Adı,İcracı,Eser Süresi,Yayın Adedi
13 32-20,Cassandra Wilson,00:05:23,2
And I Love Her,"Harry Connick, Jr.",00:03:12,2
Basin Street Blues,Ella Fitzgerald,00:03:08,2
Butterfly,Courtney Pine featuring Omar,00:03:57,2
Dream a Little Dream of Me,Ella Fitzgerald,00:03:07,2
Ella Hums the Blues,Ella Fitzgerald,00:05:13,2
In a Sentimental Mood,Duke Ellington & John Coltrane,00:04:17,2
In the Still of the Night,Stacey Kent,00:05:09,2
In the Still of the Night,Stacey Kent,00:05:08,2
La Vie en Rose,Louis Armstrong,00:03:26,2
Laurie,Bill Evans Trio,00:06:48,2
Little Girl Blue (vocal version),Chet Baker,00:04:30,2
Little Train,George Benson,00:05:46,2
Londonderry Air,Ben Webster,00:04:32,2
Lonnie's Lament,Marcus Miller,00:10:51,2
Love Is Blindness,Cassandra Wilson,00:04:53,2
Luz negra,Stefano Bollani,00:05:04,2
Mai Tai,"Erwin Do, Miguel Carne",00:02:31,2
Margarita,"Erwin Do, Miguel Carne",00:02:12,2
My Funny Valentine,Chet Baker,00:02:16,2
My Romance (take 2),Bill Evans,00:07:14,2
Re: Person I Knew,Bill Evans Trio,00:05:04,2
Somethin’ Grand,Madeleine Peyroux,00:03:44,2
Summertime,Al Jarreau,00:06:18,2
Wonderland,Daniel García Trio,00:06:08,2
Yesterday,Katie Noonan,00:05:17,2
You Don't Know What Love Is,Sonny Rollins,00:06:30,2
Your Heart Is as Black as Night,Melody Gardot,00:02:42,2
Your Heart Is as Black as Night,Melody Gardot,00:02:44,2
Your Song,"Harry Connick, Jr.",00:03:37,2
You’re All the World to Me,Tony Bennett,00:02:15,2
100 Fuites,Bada-Bada,00:03:53,1
11 Why Did I Choose You,Bill Evans,00:04:20,1
34 Skidoo,Bill Evans,00:06:24,1
A Little Warm Death,Cassandra Wilson,00:05:45,1
A World of Abstractions,Luke Howard,00:01:05,1
Across the Universe,Katie Noonan,00:06:11,1
Air Mail Special,Ella Fitzgerald,00:03:03,1
All Roads Lead To Los Angeles,High Pulp,00:04:42,1
All the Way / One for My Baby (and One More for the Road),Frank Sinatra with Kenny G,00:06:04,1
Alone With My Thoughts,Norah Jones,00:04:15,1
Always,Kenny G,00:05:34,1
And I Love Her,Katie Noonan,00:04:07,1
Autumn in New York,Marilyn Scott,00:05:11,1
Baby,Dave Pike,00:02:49,1
Bali Ha'i,Stacey Kent,00:03:00,1
Be My Somebody,Norah Jones,00:03:37,1
Because,Katie Noonan,00:02:43,1
Behold These Days (Berlin ’74),Jazzanova,00:03:59,1
Bend One,Duke Ellington & Johnny Hodges,00:03:01,1
Beyond the Sea,Bobby Darin,00:02:52,1
Big Shoe,Duke Ellington & Johnny Hodges,00:05:40,1
Body and Soul,Tony Bennett & Amy Winehouse,00:03:21,1
Breezin',George Benson,00:05:42,1
Broken,Norah Jones,00:03:21,1
But for Now,Jamie Cullum,00:03:56,1
By the Time This Night Is Over,Kenny G with Peabo Bryson,00:04:43,1
Cantaloupe Island,Herbie Hancock,00:05:34,1
Change Partners,Antônio Carlos Jobim & Frank Sinatra,00:02:43,1
Chasing Pirates,Norah Jones,00:02:41,1
Chez Clerambault,De‐Phazz,00:04:06,1
Close to You,Bebel Gilberto,00:03:19,1
Cloud Message,Chris Potter,00:07:05,1
Come Away With Me,Norah Jones,00:03:18,1
Come Rain or Come Shine,Ray Charles,00:03:43,1
Come With Me,Myriam Alter,00:07:24,1
Continuum 2,Nala Sinephro,00:07:02,1
Cousin John,Marcus Miller,00:10:42,1
Creep,Karen Souza,00:03:30,1
Cry Me a River,Marilyn Scott,00:05:05,1
D-Natural Blues,Wes Montgomery,00:05:25,1
Dancing in the Dark,Bill Evans,00:04:37,1
Day In Day Out,Stacey Kent,00:05:48,1
Deep Within The Corners Of My Mind,Melody Gardot,00:03:22,1
Detour Ahead (take 2),Bill Evans,00:07:38,1
Don Quixote,Charlie Haden / Egberto Gismonti,00:12:02,1
Don't Make Me Wait for Love,Kenny G,00:04:06,1
Downtime,Robert Glasper Trio,00:05:22,1
Dream a Little Dream of Me,Doris Day with Paul Weston & His Music from Hollywood,00:03:44,1
Dream Dancing,Stacey Kent,00:04:23,1
Drinking Again,Frank Sinatra,00:03:10,1
East of the Sun,Stacey Kent,00:06:37,1
Embraceable You,Billie Holiday,00:03:14,1
Embraceable You,Yehudi Menuhin & Stéphane Grappelli,00:03:15,1
Este seu olhar,Diana Krall,00:02:46,1
Ev'rything I Love,Bill Evans,00:04:15,1
Even Though,Norah Jones,00:03:52,1
Everlasting,Kenny G,00:04:17,1
Every Breath You Take,Karen Souza,00:02:48,1
Every Time We Say Goodbye,Marilyn Scott,00:05:57,1
Everything Happens to Me,Bill Evans,00:04:39,1
Ev’ry Time We Say Goodbye,Ray Charles & Betty Carter,00:04:44,1
Faces of the Heart,Dave Koz,00:03:40,1
Fall Again,Kenny G feat. Robin Thicke,00:04:10,1
Fandango,Al Di Meola,00:07:11,1
Fascinatin' Rhythm,Yehudi Menuhin & Stéphane Grappelli,00:02:24,1
Father Daughter,Neil Cowley Trio,00:04:48,1
Feeling Good,Nina Simone,00:02:54,1
Find Him,Cassandra Wilson,00:04:40,1
Five,Bill Evans Trio,00:05:31,1
Fly Me to the Moon / You Make Me Feel So Young,Kenny G,00:03:30,1
For No One,Katie Noonan,00:03:10,1
Forgetful,Chet Baker,00:02:35,1
Gee Baby Ain't I Good to You,Bill Evans,00:04:41,1
Gershwin Medley: The Man I Love / Summertime / I’ve Got Plenty of Nothin’ / It Ain’t Necessarily So,Art Tatum,00:04:30,1
Gloria’s Step (take 3),Bill Evans,00:07:01,1
Go Away Little Girl,Al Jarreau,00:05:43,1
God Bless the Child,Billie Holiday,00:02:57,1
Gone With the Wind,Wes Montgomery,00:06:23,1
Goodbye Pork Pie Hat,Charles Mingus,00:05:42,1
Harvest Moon,Cassandra Wilson,00:05:15,1
Havana,Kenny G,00:07:20,1
Heart and Soul (live),Kenny G,00:04:42,1
"Hello, Dolly!",Louis Armstrong,00:02:27,1
Hot Little Harp,De‐Phazz,00:02:46,1
Hotel 49,Chet Baker,00:09:53,1
How Could an Angel Break My Heart,Kenny G with Toni Braxton,00:04:20,1
How High the Moon,Ella Fitzgerald,00:03:16,1
I Didn't Know About You,Stacey Kent,00:04:43,1
I Fall in Love Too Easily,Eliane Elias,00:03:51,1
I Got a Woman,Ray Charles,00:02:51,1
I Got Rhythm,Yehudi Menuhin & Stéphane Grappelli,00:03:02,1
I Hate U,Terrace Martin,00:02:48,1
I Must Be Saved,Madeleine Peyroux,00:04:45,1
I Want a Little Sugar in My Bowl,Nina Simone,00:02:32,1
I'll Never Smile Again (take Re-6),Bill Evans,00:06:38,1
I'll Win Your Heart,Fredrika Stahl,00:03:05,1
I'm Gonna Wash That Man Right Outta My Hair,Stacey Kent,00:04:35,1
I'm in the Mood for Love,Erroll Garner,00:04:29,1
I'm in the Mood for Love,Julie London,00:02:30,1
I'm Old Fashioned,Stacey Kent,00:02:59,1
I've got my love to keep me warm,Berlin,00:03:32,1
If You Could See Me Now,Bill Evans,00:05:49,1
If You Could See Me Now,The Bill Evans Trio,00:04:29,1
In the Mood,The Glenn Miller Orchestra,00:03:36,1
In the Rain,Kenny G,00:05:00,1
In Your Own Sweet Way (Take 2),Bill Evans,00:05:56,1
Instead,Madeleine Peyroux,00:05:13,1
Ishmael,Abdullah Ibrahim feat. Noah Jackson & Cleve Guyton Jr.,00:01:43,1
Isn’t This a Lovely Day,Ella Fitzgerald and Louis Armstrong,00:06:18,1
It Might as Well Be Spring,Stacey Kent,00:04:40,1
It's Delovely,Stacey Kent,00:03:25,1
It's Gonna Be,Norah Jones,00:03:11,1
I’ll Always Love You,The C.A. Warren Players,00:02:32,1
I’ll Look Around,Billie Holiday,00:03:16,1
I’ve Got You Under My Skin,Frank Sinatra,00:03:43,1
Jade Visions (take 2),Bill Evans,00:04:04,1
Jazz Is the Move,De‐Phazz,00:03:28,1
Just a File,De‐Phazz,00:03:01,1
Just the Way You Are,"Harry Connick, Jr.",00:03:48,1
La Santa Espina,Charlie Haden & Carla Bley,00:06:58,1
La Vie en rose,Louis Armstrong,00:03:25,1
Latin Blues,Dave Pike,00:02:56,1
Lazy River,Sidney Bechet;Muggsy Spanier,00:04:13,1
Les Étoiles,Melody Gardot,00:03:20,1
Les Étoiles,Melody Gardot,00:03:20,1
Let’s Fall in Love,Diana Krall,00:04:19,1
Light as a Feather,Norah Jones,00:03:52,1
Like Someone in Love,Bill Evans Trio,00:07:15,1
Little White Lies,Stacey Kent,00:04:17,1
Little Wing,Sting & Gil Evans,00:09:44,1
Love and Treachery,Madeleine Peyroux,00:04:20,1
Lullaby for Helene,Bill Evans,00:02:55,1
Lulluaby of Birdland,Ella Fitzgerald,00:02:51,1
Martini,"Erwin Do, Miguel Carne",00:02:46,1
Memphis,Cassandra Wilson,00:05:05,1
Midnight Blue (2012 Remaster),Kenny Burrell,00:04:03,1
Missing You Now,Michael Bolton with Kenny G,00:04:39,1
MoonDial,Pat Metheny,00:06:24,1
Moonlight Serenade,Glenn Miller,00:03:20,1
Mother of Earl,Bill Evans Trio,00:05:15,1
My Dear Country,Norah Jones,00:03:25,1
My Favorite Things (Part I),John Coltrane,00:02:47,1
My Favorite Things (Part I),John Coltrane,00:02:47,1
My Foolish Heart,Bill Evans Trio,00:04:55,1
My Funny Valentine,Bill Evans & Jim Hall,00:05:22,1
My Heart Stood Still,Bill Evans,00:01:11,1
My Heart Stood Still,Bill Evans,00:04:46,1
My Heart Will Go On (Love Theme From “Titanic”),Kenny G,00:04:21,1
My Man’s Gone Now,Bill Evans Trio,00:06:29,1
My Romance,Bill Evans Trio,00:09:05,1
Naima,John Coltrane,00:04:25,1
Negroni,"Erwin Do, Miguel Carne",00:02:28,1
"New York, New York",Frank Sinatra,00:03:27,1
Night and Day,Bebel Gilberto,00:04:55,1
Nikki's Groove,Marcus Miller,00:05:04,1
Nobody's Heart (Belongs to Me),Stacey Kent,00:03:49,1
Nouroog,Bill Evans,00:04:31,1
Odyssey,Nubya Garcia,00:07:23,1
Oh Sunny Sunny Day,Fredrika Stahl,00:03:02,1
"Oh, Lady Be Good",Yehudi Menuhin & Stéphane Grappelli,00:03:41,1
One for My Baby (and One More for the Road),Tony Bennett & John Mayer,00:02:56,1
One More Time,Kenny G feat. Chanté Moore,00:04:04,1
Os novos yorkinos,Bebel Gilberto,00:03:40,1
Over the Rainbow,Dave Koz,00:04:03,1
Palhaço,Charlie Haden / Egberto Gismonti,00:09:19,1
Pourquoi pas moi ?,Fredrika Stahl,00:03:39,1
Que Mal Es Querer,Dave Pike,00:03:18,1
Question Mark,Mark Guiliana,00:02:36,1
Re: Person I Knew,The Bill Evans Trio,00:05:44,1
Rosie's Lullaby,Norah Jones,00:03:57,1
Rough Ridin’,Ella Fitzgerald,00:03:15,1
RUSH,シートベルツ,00:03:34,1
Sabor a mí,Kenny G,00:04:23,1
Samba D'Orpheu,Paul Desmond,00:04:18,1
Save Your Love for Me,Al Jarreau,00:05:55,1
September Second (Live),Michel Petrucciani,00:05:19,1
Shadows in the Rain,Sting & Gil Evans,00:05:55,1
Show Me the Way,Dave Koz,00:05:22,1
Sinnerman,Nina Simone,00:10:22,1
Skating in Central Park,Bill Evans & Jim Hall,00:05:24,1
So Nice,Diana Krall,00:03:53,1
Solomon Sang,Cassandra Wilson,00:05:56,1
Soon,Yehudi Menuhin & Stéphane Grappelli,00:03:52,1
Stairway to the Stars,Bill Evans & Jim Hall,00:05:39,1
Star‐Crossed Lovers,Fred Hersch,00:03:58,1
Stolen Moments,Oliver Nelson,00:08:47,1
Summer Wind,Frank Sinatra,00:02:58,1
Summertime,Bill Evans,00:05:58,1
Summertime,Miles Davis,00:03:19,1
Take Five,The Dave Brubeck Quartet,00:05:25,1
Take Five,The Dave Brubeck Quartet,00:05:26,1
Tell Yer Mama,Norah Jones,00:03:26,1
That Somebody Was You,Kenny G feat. Toni Braxton,00:05:07,1
That Somebody Was You,Kenny G with Toni Braxton,00:05:02,1
The Girl From Ipanema,Stan Getz,00:05:20,1
The Lady's in Love With You,Glenn Miller,00:03:03,1
The Man I Love,Yehudi Menuhin & Stéphane Grappelli,00:04:41,1
The Moment,Kenny G,00:06:01,1
The Pink Panther,Dave Koz,00:03:38,1
The Proposal,Ibrahim Maalouf,00:04:59,1
The Quest Begins,Tigran Hamasyan,00:04:32,1
The Rain,Melody Gardot,00:03:24,1
The Shadow of Your Smile,Kenny G,00:04:06,1
The Sidewinder,Lee Morgan,00:10:28,1
The Way You Look Tonight,"Harry Connick, Jr.",00:03:47,1
The World We Knew (Over and Over),Frank Sinatra,00:02:50,1
Theme From Mash,Bill Evans Trio,00:04:29,1
"Theme From New York, New York",Frank Sinatra,00:03:26,1
There Will Never Be Another You,Lester Young with The Oscar Peterson Trio,00:03:26,1
There's a Lull in My Life,Chet Baker,00:02:53,1
There's a Lull in My Life,Stacey Kent,00:04:27,1
They All Laughed,Chet Baker,00:02:08,1
They All Laughed,Yehudi Menuhin & Stéphane Grappelli,00:03:04,1
They Can't Take That Away From Me,Yehudi Menuhin & Stéphane Grappelli,00:04:53,1
They Can’t Take That Away From Me,Ella & Louis,00:04:36,1
They Can’t Take That Away From Me,Stacey Kent,00:05:01,1
This Too + Untouched,DoomCannon,00:07:27,1
Transfiguration,James Brandon Lewis Quartet,00:07:04,1
Trav'lin' Light,Chet Baker,00:03:10,1
Um segundo,Bebel Gilberto,00:03:10,1
Up With the Lark,Bill Evans Trio,00:05:17,1
Very Early,The Bill Evans Trio,00:05:06,1
Volare,Ella Fitzgerald,00:02:40,1
Wait a Little While,Dave Koz,00:05:39,1
Wait Till You See Him (De-Phazz Remix),Ella Fitzgerald,00:03:53,1
Walkin’ Up,Bill Evans Trio,00:03:35,1
Waltz for Debby,Bill Evans,00:07:15,1
Waltz For Debby (take 2),Bill Evans,00:06:58,1
What a Diff’rence a Day Makes,Dinah Washington,00:02:32,1
What Are You Doing The Rest Of Your Life,Bill Evans Trio,00:05:12,1
When I Fall in Love,Bill Evans Trio,00:04:01,1
When Lights Are Low,Chet Baker,00:06:53,1
When No Words Come,De‐Phazz,00:03:33,1
When Sunny Gets Blue,McCoy Tyner,00:04:42,1
When You Wish Upon a Star,Bill Evans,00:05:45,1
When You’re Smiling (The Whole World Smiles with You),Louis Armstrong,00:04:04,1
Where or When,Diana Krall,00:04:10,1
Who Will Comfort Me,Melody Gardot,00:04:58,1
Why Did I Choose You?,Bill Evans,00:05:09,1
Wikimedia Commons - Acoustic Jazz Quartet no1 (exploration),Wikimedia Commons,00:01:46,1
Words,Bebel Gilberto,00:02:30,1
Words,Bebel Gilberto,00:02:30,1
You Go to My Head,Bill Evans,00:05:06,1
You Go to My Head,Stacey Kent,00:07:01,1
You Make Me Feel So Young,Frank Sinatra,00:02:56,1
You Raise Me Up,Kenny G,00:03:14,1
You Send Me,Kenny G with Michael Bolton,00:04:01,1
You Stepped Out of a Dream,Bill Evans,00:04:44,1
Your Song,Al Jarreau,00:06:05,1
Your Story,Bill Evans,00:04:39,1
Étude No. 3: Ballade,Marie Awadis,00:03:24,1
Étude No. 3: Ballade,Marie Awadis,00:03:24,1
