Eser Adı,İcracı,Eser Süresi,Yayın Adedi
4.3 Forty,Knox,00:03:02,2
Adore You,LIA LIA,00:02:35,2
All Day and All of the Night,The Kinks,00:02:22,2
Antidote,Weathers,00:03:11,2
Bad Apple,Sailor Honeymoon,00:02:38,2
Black Magic Woman,Santana,00:03:16,2
Born in the U.S.A.,Bruce Springsteen,00:04:39,2
Bright Shadow,Mr. Bison,00:07:13,2
Clear,JonoJono,00:03:30,2
Cup,Jawdropped,00:04:08,2
Don’t Dream It’s Over,Crowded House,00:03:57,2
Dragula,,00:03:43,2
Dreams,Fleetwood Mac,00:04:18,2
Enter Sandman,Metallica,00:05:32,2
Enter Sandman,Metallica,00:05:32,2
Figurative Theater,,00:02:42,2
Freakin’ Out,Dexter and The Moonrocks,00:03:38,2
Gimme Shelter,The Rolling Stones,00:04:31,2
Graveyard Love Song,,00:04:20,2
Hanging Out to Dry,Florence Road,00:03:30,2
Hard Times for Dracula,,00:02:35,2
Have You Ever Seen the Rain,Creedence Clearwater Revival,00:02:40,2
Hit Me With Your Best Shot,Pat Benatar,00:02:52,2
Home Again,Shihad,00:03:45,2
How Much Love Have I Got Left,CHEEKY LEASH,00:03:58,2
I Got You,Split Enz,00:03:29,2
Interstate Love Song,Stone Temple Pilots,00:03:14,2
Iron Man,Black Sabbath,00:05:56,2
Just What I Needed,The Cars,00:03:46,2
La Grange,ZZ Top,00:03:50,2
Livin’ on a Prayer,Bon Jovi,00:04:09,2
Lost In Translation,Colorblind,00:02:28,2
Love Is a Long Road,Tom Petty,00:04:08,2
Lullaby,Low,00:09:49,2
Mary On A Cross,Ghost,00:04:05,2
My Girlfriend's Girlfriend,,00:03:49,2
NOTHING BETTER THAN THIS,Kasabian,00:02:38,2
On My Back,Triggerfinger,00:03:58,2
Once in a Lifetime,Talking Heads,00:04:20,2
One Last Breath,Creed,00:03:59,2
"Paint It, Black",,00:03:22,2
Paranoid,Black Sabbath,00:02:48,2
Purple Haze,The Jimi Hendrix Experience,00:03:00,2
"Rapture, Or...",Sweeping Promises,00:03:39,2
Ricochet,Jamey Cassell,00:03:44,2
Scream!,Misfits,00:02:56,2
SEEIN’ STARS,Turnstile,00:03:06,2
Seek & Destroy,Metallica,00:06:55,2
Sharp Dressed Man,ZZ Top,00:04:18,2
Should I Stay or Should I Go,The Clash,00:03:09,2
Slow Ride,Foghat,00:03:53,2
Smells Like Teen Spirit,Nirvana,00:05:02,2
Smells Like Teen Spirit,Nirvana,00:05:02,2
Sonne,,00:04:06,2
Southern Cross,"Crosby, Stills & Nash",00:04:41,2
Sweet Devotion,Queen of Jeans,00:03:08,2
Take Me Away,Lash,00:03:34,2
Ten Over Ten,Royal Blood,00:03:17,2
The Trooper,Iron Maiden,00:04:23,2
Thunderstruck,AC/DC,00:04:53,2
Tossing & Turning,The Gringos,00:03:44,2
Walk,Pantera,00:05:16,2
Wanderer,Këkht Aräkh,00:03:03,2
Welcome to the Jungle,Guns N’ Roses,00:04:33,2
Whatchu In The Rush For,Hendrix Frankenreiter,00:03:13,2
When I Come Home,New Jordal Swingers,00:03:39,2
Would?,Alice in Chains,00:03:28,2
Zombie,,00:05:08,2
Zombie - 2025 Remastered,The Cranberries,00:05:07,2
1979,The Smashing Pumpkins,00:04:26,1
505,Arctic Monkeys,00:04:14,1
A Horse With No Name,America,00:03:46,1
Aces High,Iron Maiden,00:05:00,1
Aces High (video),Iron Maiden,00:05:00,1
After,Just Penelope,00:02:55,1
All Along the Watchtower,The Jimi Hendrix Experience,00:04:05,1
All the Small Things,blink‐182,00:02:47,1
ALL WE HAVE IS US,Crawlers,00:03:56,1
ALWAYS LET YOU DOWN,Bilmuri feat. A Day to Remember,00:02:59,1
American Pie,Don McLean,00:08:37,1
Andy's Gotta Bang,Petey USA,00:05:22,1
Another Brick in the Wall (Part 2),Pink Floyd,00:03:59,1
Another One Bites the Dust,Queen,00:03:35,1
Another One Bites the Dust,Queen,00:03:35,1
Are You Gonna Go My Way,Lenny Kravitz,00:03:32,1
August,The Plugs,00:03:33,1
Baba O’Riley,The Who,00:05:00,1
Baby Kool (Evelyn),Nothing But Thieves,00:03:44,1
Bang Bang,Dear Youth,00:02:44,1
Barracuda,Heart,00:04:22,1
Beaver Pond,Trask,00:02:42,1
Behind Blue Eyes,The Who,00:03:41,1
Black Dog,Led Zeppelin,00:04:56,1
Black Hole Sun,Soundgarden,00:05:19,1
Black Party With Witches,,00:06:58,1
Blitzkrieg Bop,Ramones,00:02:14,1
Born to Be Wild,Steppenwolf,00:03:30,1
Breaking the Law,Judas Priest,00:02:34,1
Bring Me to Life,Evanescence,00:03:56,1
C.E.O.,Weezer,00:02:54,1
Canyons,Man/Woman/Chainsaw,00:02:54,1
Cinnamon Girl,,00:04:08,1
Coalesce,Stereo Wildlife feat. Izzy Chase,00:02:04,1
Come as You Are,Nirvana,00:03:39,1
Come as You Are,Nirvana,00:03:44,1
Control,Billy Vincent,00:03:55,1
